old_id,old_path,new_id,new_path,phase,area,topic
DD-DBCON-002,docs/3.詳細設計(DD)/22.DB制約/DD-DBCON-002.md,DD-APP-DB-004,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-004.md,DD,APP,DB
DD-DDL-001,docs/3.詳細設計(DD)/21.DDL/DD-DDL-001.md,DD-APP-DB-002,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-002.md,DD,APP,DB
DD-DDL-002,docs/3.詳細設計(DD)/21.DDL/DD-DDL-002.md,DD-APP-DB-005,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-005.md,DD,APP,DB
DD-DDL-003,docs/3.詳細設計(DD)/21.DDL/DD-DDL-003.md,DD-APP-DB-006,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-006.md,DD,APP,DB
DD-DDL-004,docs/3.詳細設計(DD)/21.DDL/DD-DDL-004.md,DD-APP-DB-007,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-007.md,DD,APP,DB
DD-DDL-005,docs/3.詳細設計(DD)/21.DDL/DD-DDL-005.md,DD-APP-DB-008,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-008.md,DD,APP,DB
DD-DDL-006,docs/3.詳細設計(DD)/21.DDL/DD-DDL-006.md,DD-APP-DB-009,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-009.md,DD,APP,DB
DD-DDL-007,docs/3.詳細設計(DD)/21.DDL/DD-DDL-007.md,DD-APP-DB-010,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-010.md,DD,APP,DB
DD-DDL-008,docs/3.詳細設計(DD)/21.DDL/DD-DDL-008.md,DD-APP-DB-011,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-011.md,DD,APP,DB
DD-DDL-009,docs/3.詳細設計(DD)/21.DDL/DD-DDL-009.md,DD-APP-DB-012,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-012.md,DD,APP,DB
